s_0_score,s_10_score,s_11_score,s_12_score,s_13_score,s_14_score,s_15_score,s_16_score,s_17_score,s_18_score,s_19_score,s_1_score,s_20_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,,,,,,0.132,,,,,,,,,4.772,
,,,,,,,,,,,,,,,,1.872,,,,1.232
,,,,,2.38,,1.36,,,,,,,,,,,,,
,,1.088,,,1.068,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.12,,,1.02,,,,,
,,,,,,,,,,,,,1.048,,,,,,0.988,
,,,,,,,,,,,,,5.0,0.0,,,,,,
,2.628,,,,,,1.148,,,,,,,,,,,,,
,,,0.5,,,,,,,,,,3.0,,,,,,,
,,,,,,,,,,,,,1.048,,,,0.988,,,
,,2.192,,,,,,1.352,,,,,,,,,,,,
,,,,,1.092,,,,,,,,,,,,,,1.092,
,,,,,,,,,,1.452,,,,,,,2.232,,,
,,,0.452,,,,,,,,,,,,,,3.672,,,
,,,,,,,4.224,,,,,,,1.164,,,,,,
,,,,,,0.988,,2.708,,,,,,,,,,,,
,,,0.116,,,,,,,,,,,,,,,,4.756,
,,,,,,,3.748,,,,,,,,1.788,,,,,
,,,,0.148,,,,,,,,,,,,,,4.748,,
,,,,,,,,,,,,,1.08,,,,0.98,,,
,,,,,,0.56,,,,,,,,,,2.98,,,,
,,2.424,,,,,0.824,,,,,,,,,,,,,
,,,4.816,,,,,,,0.096,,,,,,,,,,
,,,,,,,1.544,,,,,,,,,2.624,,,,
,,,,,,,,,,,,,,,,,,1.132,,2.172
0.996,,,,,,,,,1.016,,,,,,,,,,,
,,,,,,0.468,,,,,,,3.128,,,,,,,
,,,,0.152,,,,,,,,,,,,,,4.732,,
,,,,1.536,,,,,,,,,,,,,,,,1.556
,,,,,,,,,,,,,1.064,,,,,,,0.984
,,,,,,,,,,,,0.98,1.08,,,,,,,
,,,0.076,,,,,,,,,,,,,,,,4.856,
,,,,,,,,,,0.56,,,,,,,2.92,,,
,,,,,,,,,,,,,,,0.992,1.032,,,,
,,,,,,,,,,,0.912,2.812,,,,,,,,
,,,,,,,,,,,,,,,2.016,,,,3.656,
,,,,,,,1.388,,,2.308,,,,,,,,,,
,,4.724,,,,,0.164,,,,,,,,,,,,,
,,,,,,,,,,0.508,,,2.968,,,,,,,
,,,,,,,,,,,,,,,,1.08,0.98,,,
3.0,,,,,,,,,,,,,,3.0,,,,,,
,,,,,,,,,,,,,,2.016,,,,,3.656,
,,,,,,,,,,0.532,,,,,,2.932,,,,
1.848,,,,,1.848,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3.0,3.0,,,,,
,,4.48,,,,,,,,,,,,0.78,,,,,,
,,,,,,,,,,,,,,,,,1.048,,,1.048
,0.04,,4.88,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.016,,,,,3.656,
,,,,,,0.78,,2.86,,,,,,,,,,,,
,,,0.024,,4.904,,,,,,,,,,,,,,,
1.832,,,,,,,,,,,,,,,,,,1.852,,
,,,,,,,,,,,1.088,,,,,,,,,2.828
,,0.992,,,,,,,,,,,,,,1.032,,,,
2.024,,,,2.024,,,,,,,,,,,,,,,,
,,1.12,,,,,,,,,,,,,1.02,,,,,
,,,,,,,,,,,,,,3.0,3.0,,,,,
,,,,,5.0,,,,,,,,,0.0,,,,,,
,,,,4.992,,,,,,,,,,0.012,,,,,,
,,,,,1.0,,,,1.0,,,,,,,,,,,
